,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
hsa-miR-1273g-5p,3.391737534,1.113156552,0.55336206,2.011624273,0.044259559,0.159792269
hsa-miR-1273h-3p,16.8328405,0.497327452,0.292205082,1.701980843,0.08875896,0.259582767
hsa-miR-1273h-5p,6.24707151,1.429266121,0.434546982,3.289094574,0.001005102,0.008697043
hsa-miR-1275,0.769871314,0.971953856,0.726693809,1.33750122,0.181059084,NA
hsa-miR-1276,3.346657731,0.540376361,0.595952778,0.906743589,0.364542407,0.625698197
hsa-miR-1277-3p,6.254368114,1.048966565,0.428929787,2.445543764,0.014463389,0.071094689
hsa-miR-1277-5p,83.26984461,1.310954257,0.171364142,7.650108353,2.01E-14,1.00E-11
hsa-miR-1278,1.758868491,-0.007470258,0.642207676,-0.011632153,0.990719094,0.998900604
hsa-miR-1279,0.168518517,-0.032514436,0.579930012,-0.056066138,0.955289119,NA
hsa-miR-128-1-5p,56.94047387,0.00532643,0.356620528,0.014935847,0.988083361,0.998574594
hsa-miR-128-2-5p,5.954319387,0.313006474,0.400817761,0.780919669,0.434849743,0.685645997
